column_name,category
Kochutensilien,other_amenity
Konferenz- und Veranstaltungsräume,business_events
Kontaktlose Bezahlung,safety_health
Kontaktloser Check-In/out,safety_health
Kontinentales Frühstück,food_beverage
Kopfmassage,wellness_spa
Kostenlos parken vor Ort,transport_parking
Kostenloses Handdesinfektionsmittel,safety_health
Kroatisch,languages
Kunstgalerie im Hotel,other_amenity
Körperpeeling,other_amenity
Küche,food_beverage
Kühl-Gefrierkombination,other_amenity
Kühlschrank,room_amenities
Kühlschrank im Gemeinschaftsbereich,room_amenities
LAN,languages
LGBT-Freundlich,other_amenity
Ladestation für Elektro-Autos,transport_parking
Langzeitparken,transport_parking
Lebensmittel aus biologischem Anbau,sustainability
Lebensmittel aus der Region,sustainability
Live-Musik/Performance,entertainment
Lokale Karten,other_amenity
Lunchpakete,other_amenity
Luxushotel,style_theme
Maestro,payment_methods
Maniküre,other_amenity
Masken für Gäste verfügbar,food_beverage
Maskenpflicht,safety_health
Massage,wellness_spa
Massage im Zimmer,room_amenities
Massagestuhl,wellness_spa
Maßnahmen zur Reduzierung des Energieverbrauchs,sustainability
Mehrsprachiges Personal,other_amenity
Mikrowelle,room_amenities
Mikrowelle im Gemeinschaftsbereich,room_amenities
Mini-Kühlschrank,room_amenities
Minibar,food_beverage
Minigolf,sport_recreation
Minimarkt vor Ort,other_amenity
Mitarbeiter folgen Regeln des regionalen Standards,other_amenity
Mitarbeiter tragen Schutzkleidung,safety_health
Motto-Dinnerabende,entertainment
Nachhaltige Unterkunft,sustainability
Nachtclub/DJ,entertainment
Nackenmassage,wellness_spa
Nicht rollstuhlgerecht,accessibility
Nichtraucherunterkunft,other_amenity
Nichtraucherzimmer,room_amenities
Nichtschwimmerbereich,other_amenity
Niederländisch,languages
Niedriges Waschbecken,room_amenities
Niedriges Waschbecken im Bad,room_amenities
Notrufleine im Bad,room_amenities
Nur Assistenztiere sind erlaubt,pets
Nur Hunde sind erlaubt,pets
Nur Hunde und Katzen sind erlaubt,pets
Nur für Erwachsene,other_amenity
Obere Stockwerke mit Fahrstuhl erreichbar,food_beverage
Outdoorspielgeräte für Kinder,family_kids
Paarmassage,wellness_spa
Panoramahotel,style_theme
Parken vor Ort,transport_parking
Parkhaus/Tiefgarage,transport_parking
Parkplatz außerhalb des Hotelgeländes,transport_parking
Parkservice,transport_parking
Pediküre,other_amenity
Pension,style_theme
Pflegeprodukte,other_amenity
Picknickbereich,food_beverage
Pillow-Top Matratze,other_amenity
Polnisch,languages
Pool,wellness_spa
Pool Cabana,wellness_spa
Pool mit Rampe,wellness_spa
Pool-/Strandtücher,wellness_spa
Poolbar,food_beverage
Portier/Hotelpage,pets
Portugiesisch,languages
Premium Bettwaren,room_amenities
Privater Check-in/-out,other_amenity
Privater Strand,other_amenity
Privates Abendessen,food_beverage
Privates Tauchbecken,other_amenity
Privatstrand in der Nähe,other_amenity
Programm zur Reduzierung von Lebensmittelabfällen,sustainability
Pub Crawl,entertainment
Radfahren,sport_recreation
Raucher und Nichtraucherzimmer,room_amenities
Raucherzimmer,room_amenities
Rauchmelder,other_amenity
Recycling,sustainability
Regendusche,other_amenity
Reinigung mit Desinfektionsmittel,safety_health
Reinigungsmittel gegen Coronaviren,safety_health
Reiseführer oder Empfehlungen,other_amenity
Reiten,sport_recreation
Resort,style_theme
Restaurant,food_beverage
Rezeption,other_amenity
Rollstuhlgerecht,accessibility
Rollstühle verfügbar,food_beverage
Romantik/Flitterwochen,style_theme
Rumänisch,languages
Russisch,languages
Räumliche Trennung von Gästen und Mitarbeitern in Hauptkontaktzonen,other_amenity
Rückenmassage,wellness_spa
Safe an der Rezeption,room_amenities
Safe im Zimmer,room_amenities
Safe in Laptopgröße,room_amenities
Satelliten-TV,room_amenities
Sauna,wellness_spa
Schallisolierung,other_amenity
Schlafsofa,room_amenities
Schlafzimmer,room_amenities
Schließfächer,other_amenity
Schrank,room_amenities
Schreibtisch,room_amenities
Schutzkleidung für Gäste verfügbar,food_beverage
Schwimmbad,room_amenities
Seife,other_amenity
Serbisch,languages
Shampoo,other_amenity
Shopping,other_amenity
Shuttle in die Umgebung,transport_parking
Shuttle zum Bahnhof,transport_parking
Shuttle zur Fähre,transport_parking
Shuttleservice,transport_parking
Sicherheitsalarm,safety_health
Sitzecke,other_amenity
Slowakisch,languages
Smart TV,room_amenities
Snackbar,food_beverage
Social Distancing Maßnahmen,other_amenity
Solarium,other_amenity
Sonnenschirme,other_amenity
Sonnenstühle/-liegen,other_amenity
Spa & Wellnesscenter,wellness_spa
Spa-Anwendungen,wellness_spa
Spa/Entspannung,wellness_spa
Spanisch,wellness_spa
Speisen für spezielle Ernährungsbedürfnisse,other_amenity
Spielbereich,family_kids
Spiele für Kinder,family_kids
Spielhalle,family_kids
Spielzeug,family_kids
Spülmaschine,other_amenity
Strand,other_amenity
Strand Cabana,other_amenity
Strandbar,food_beverage
Strandhotel,style_theme
Streaming-Dienste (z.B. Netflix),room_amenities
Streaming-Service,room_amenities
Strom aus erneuerbaren Energien,food_beverage
Städtereise,other_amenity
TV,room_amenities
Tagesbett,room_amenities
Tauchbecken,other_amenity
Tee-/Kaffeezubereiter,other_amenity
Teile des CO²-Ausstoßes werden durch Zertifikate ausgeglichen,sustainability
Telefon,other_amenity
Tennisausrüstung,sport_recreation
Tennisplatz,sport_recreation
Terrasse,other_amenity
Thailändisch,languages
Ticketservice,other_amenity
Tierkörbchen,pets
Tischtennis,sport_recreation
Toilettenpapier,other_amenity
Touren/Kurse über die örtliche Kultur,other_amenity
Tschechisch,languages
Ungarisch,languages
Unterkunft wird von professionellem Reinigungsservice gereinigt,other_amenity
Vegan,other_amenity
Vegetarisch,other_amenity
Ventilator,room_amenities
Veranda/Terrasse,other_amenity
Verdunkelungsvorhänge,other_amenity
Versiegelung des Raums nach Reinigung,other_amenity
Videoüberwachung der Außenbereiche der Unterkunft,safety_health
Videoüberwachung in Gemeinschaftsräumen,safety_health
Visa,payment_methods
Visuelle Hilfe: Braille,accessibility
Visuelle Hilfe: fühlbare Zeichen,food_beverage
Vollwertiges Frühstück,food_beverage
WC mit Haltegriffen,accessibility
WLAN,languages
Wandern,sport_recreation
Waschsalon/Wäscheservice,room_amenities
Wassereinsparende Badezimmer-Einrichtungen,room_amenities
Wasserkocher,sustainability
Wasserpark,sustainability
Wasserrutsche,sustainability
Wasserspielzeug für Kinder,family_kids
Wassersportmöglichkeiten vor Ort,sport_recreation
Wellness,wellness_spa
Wellnessangebote,wellness_spa
Wellnessbehandlungsraum/-räume,wellness_spa
